index,app_id,title,avg_hours_streamed,reviews_total,review_avg_percent,avg_hours_watched,avg_streamers,avg_viewers,avg_channels,release_date,launch_price_cents,dataset_est_rev_cents
302,271590,Grand Theft Auto V,1123643,1322782,89.85,64115728,126038,87926,1539,2015-04-13,2999,3967023218
128,730,Counter-Strike: Global Offensive,906847,7382695,88.0,48489362,123006,66604,1243,2012-08-21,1499,11066659805
163,381210,Dead by Daylight,738369,486959,80.0,13545274,68595,18559,1011,2016-06-14,1999,973431041
174,1085660,Destiny 2,565819,555551,82.0,7174193,53869,9832,775,2019-10-01,3499,1943872949
517,578080,PUBG: BATTLEGROUNDS,495358,2201296,57.0,9725767,47808,13337,679,2017-12-21,2999,6601686704
213,1245620,ELDEN RING,334744,520024,92.0,6275674,48378,8704,463,2022-02-24,5999,3119623976
581,1196590,Resident Evil Village,294413,64873,95.0,8070879,34485,10899,397,2021-05-06,7999,518919127
571,1282100,Remnant II,283087,6261,81.0,6976623,32813,9389,380,2023-07-25,4999,31298739
48,2208920,Assassin's Creed Valhalla,256689,10386,67.0,5353420,26200,7408,354,2022-12-06,5999,62305614
569,1174180,Red Dead Redemption 2,236684,394937,90.0,3104279,30149,4253,324,2019-12-05,5999,2369227063
57,924970,Back 4 Blood,232005,36130,66.0,6077030,38193,8202,313,2021-10-12,5999,216743870
597,252490,Rust,183374,775223,87.0,10434473,18355,14292,251,2018-02-08,3999,3100116777
450,582010,Monster Hunter: World,163908,231924,87.0,2889184,20777,3976,224,2018-08-09,2999,695540076
147,851850,DRAGON BALL Z: KAKAROT,163319,32219,93.0,5108815,20528,6924,223,2020-01-16,8499,273829281
577,952060,Resident Evil 3,162507,48121,80.0,5788535,24811,8022,224,2020-04-02,5999,288677879
52,668580,Atomic Heart,161996,18176,84.0,3998058,36979,5873,231,2023-02-20,5999,109037824
570,1294810,Redfall,141609,1763,31.0,2850843,34278,3836,190,2023-05-01,6999,12339237
90,397540,Borderlands 3,128000,93999,85.0,2058405,14685,2839,175,2020-03-13,7999,751898001
157,221100,DayZ,119869,293735,74.0,3084315,11534,4224,163,2018-12-13,4499,1321513765
352,594650,Hunt: Showdown,117086,133530,83.0,2149006,10008,2959,160,2019-08-27,3999,533986470
159,1259420,Days Gone,117013,43992,92.0,2376998,13832,3249,159,2021-05-17,4999,219916008
146,782330,DOOM Eternal,105214,151201,91.0,2281359,15405,3086,142,2020-03-19,5999,907054799
241,1151340,Fallout 76,104917,45316,75.0,1769353,10979,2438,143,2020-04-14,3999,181218684
181,601150,Devil May Cry 5,102567,69540,95.0,2393049,16800,3225,138,2019-03-07,5999,417170460
841,699130,World War Z,97954,11025,83.0,1334385,23338,1843,134,2021-09-21,3999,44088975
572,617290,Remnant: From the Ashes,96251,39273,85.0,1834655,13482,2483,130,2019-08-19,3999,157052727
602,513710,SCUM,92339,73578,74.0,2927817,11784,3997,126,2018-08-29,3999,294238422
140,1252330,DEATHLOOP,87875,16760,77.0,5285183,11199,7350,122,2021-09-13,5999,100543240
815,1361210,"Warhammer 40,000: Darktide",76688,60687,55.0,3102465,11989,4241,104,2022-11-30,3999,242687313
281,1097840,Gears 5,73735,16677,70.0,919279,8278,1258,100,2019-09-09,3999,66691323
576,883710,Resident Evil 2,71631,92283,97.0,1442945,12619,1993,98,2019-01-24,3999,369039717
43,107410,Arma 3,67987,154464,91.0,1570368,6725,2152,92,2013-09-12,2999,463237536
561,548570,RAGE 2,66442,12904,62.0,3004606,10513,4043,89,2019-05-14,5999,77411096
428,1030840,Mafia: Definitive Edition,64473,44916,86.0,3240675,8852,4482,88,2020-09-24,3999,179619084
591,632360,Risk of Rain 2,64437,162603,96.0,1276906,12719,1751,88,2020-08-11,2499,406344897
164,895400,Deadside,62758,26380,78.0,1382600,6331,1922,87,2020-04-14,1999,52733620
443,412020,Metro Exodus,61250,79807,89.0,2118703,9792,3094,88,2019-02-14,5999,478762193
631,1029690,Sniper Elite 5,58092,9692,79.0,1820321,13942,2488,79,2022-05-25,4999,48450308
116,440900,Conan Exiles,57901,63484,78.0,1655101,5149,2297,79,2018-05-08,3999,253872516
567,1144200,Ready or Not,54186,91986,91.0,2214276,14136,2980,72,2021-12-17,3999,367852014
272,438740,Friday the 13th: The Game,51611,62268,79.0,1220568,10795,1661,69,2017-05-26,3999,249009732
689,979690,The Ascent,49378,15354,75.0,769332,8880,1035,66,2021-07-29,2999,46046646
315,1659040,HITMAN 3,46899,12825,84.0,2619207,8801,3583,64,2022-01-20,6999,89762175
391,232090,Killing Floor 2,42500,74868,89.0,216266,13175,297,58,2016-11-18,2999,224529132
155,544920,Darwin Project,42262,18503,81.0,1001573,8359,1361,57,2020-01-13,1499,27735997
456,1110910,Mortal Shell,38711,4708,72.0,2330174,6493,3135,52,2021-08-18,2999,14119292
141,1274570,DEVOUR,38684,49036,92.0,1126581,14893,1554,53,2021-01-28,499,24468964
89,49520,Borderlands 2,35617,183303,95.0,520836,6309,716,48,2012-09-17,5999,1099634697
143,379720,DOOM,35232,120073,95.0,620890,9235,842,47,2016-05-12,5999,720317927
440,1194810,Meet Your Maker,35094,2472,73.0,997977,8763,1388,48,2023-04-04,2999,7413528
706,601430,The Evil Within 2,34258,15470,92.0,1990148,6880,2698,46,2017-10-12,3999,61864530
731,378540,The Surge,30448,6414,76.0,1425920,5214,1919,40,2017-05-15,4999,32063586
197,322330,Don't Starve Together,29984,276084,95.0,634612,4556,869,40,2016-04-21,1499,413849916
369,581320,Insurgency: Sandstorm,27906,85036,86.0,612790,6363,824,37,2018-12-12,2999,255022964
674,626690,Sword Art Online: Fatal Bullet,27310,14273,80.0,269398,4447,384,38,2018-02-23,4999,71350727
407,550,Left 4 Dead 2,27224,564441,97.0,402067,7008,547,36,2009-11-16,999,563876559
153,606280,Darksiders III,26178,9287,76.0,1249179,4489,1725,35,2018-11-27,5999,55712713
226,1065310,Evil West,24957,4295,75.0,1074609,5640,1494,34,2022-11-21,4999,21470705
839,1056960,Wolfenstein: Youngblood,24882,9677,46.0,1188315,5459,1599,33,2019-07-25,2999,29021323
161,543460,Dead Rising 4,24081,3638,58.0,1057028,53,1422,32,2017-03-14,5999,21824362
175,803330,Destroy All Humans!,23974,7406,93.0,1103461,5565,1485,32,2020-07-28,2999,22210594
277,493520,GTFO,23939,34952,87.0,851431,5277,1155,32,2021-12-09,3999,139773048
506,238320,Outlast,23191,74105,96.0,338588,7459,459,31,2013-09-04,1999,148135895
28,214490,Alien: Isolation,22720,37348,92.0,482881,4741,654,30,2014-10-06,3999,149354652
183,310560,DiRT Rally,22621,38231,77.76,112223,4291,156,31,2015-12-07,3499,133770269
218,311690,Enter the Gungeon,22041,65522,95.0,793458,5210,1087,29,2016-04-05,1499,98217478
646,393380,Squad,21134,103913,88.0,551766,2778,760,28,2020-09-23,4999,519461087
630,312660,Sniper Elite 4,20330,41845,91.0,855764,3662,1275,30,2017-02-13,5999,251028155
303,12120,Grand Theft Auto: San Andreas,17847,59301,87.96,485477,3786,666,24,2011-01-06,1499,88892199
200,367500,Dragon's Dogma: Dark Arisen,17834,26491,89.0,652855,2236,896,23,2016-01-15,2999,79446509
18,473690,Absolver,17620,10789,73.0,547252,4486,741,24,2017-08-29,2999,32356211
632,1338770,Sniper Ghost Warrior Contracts 2,16694,7090,84.0,778271,2273,1082,23,2021-06-04,3999,28352910
859,694280,Zombie Army 4: Dead War,16364,5104,85.0,612082,2297,880,23,2021-02-18,4999,25514896
77,362890,Black Mesa,14957,92515,95.0,758143,2563,1020,19,2020-03-06,1999,184937485
705,268050,The Evil Within,14717,16080,84.0,388049,2653,524,19,2014-10-13,1999,32143920
614,324800,Shadow Warrior 2,14698,20612,87.0,768859,3011,1034,19,2016-10-13,3999,82427388
837,612880,Wolfenstein II: The New Colossus,14209,24922,79.0,821863,3860,1122,19,2017-10-26,3999,99663078
480,1222370,Necromunda: Hired Gun,14071,4540,70.0,793254,2650,1103,19,2021-05-31,3999,18155460
270,505460,Foxhole,13963,27878,82.0,1104062,1125,1493,18,2022-09-28,2999,83606122
353,393420,Hurtworld,13168,23824,76.0,217722,1728,293,17,2019-12-10,2499,59536176
691,792300,The Beast Inside,12972,7226,83.0,899300,2428,1218,17,2019-10-17,2499,18057774
44,1874880,Arma Reforger,12929,7433,59.0,664480,3166,894,17,2022-05-17,2999,22291567
612,257420,Serious Sam 4,12029,11809,83.0,580536,2061,807,16,2020-09-24,3999,47224191
466,557340,My Friend Pedro,11299,22538,96.0,568454,4535,783,15,2019-06-20,1999,45053462
848,625340,XERA: Survival,11118,7116,67.0,883459,2155,1189,14,2021-09-26,1999,14224884
590,418460,Rising Storm 2: Vietnam,10967,36748,87.0,164970,2994,225,14,2017-05-30,2999,110207252
550,378860,Project CARS 2,10663,11081,76.67,201190,2376,279,14,2017-09-21,5999,66474919
25,304530,Agents of Mayhem,9767,3038,59.0,318873,1927,429,13,2017-08-15,5999,18224962
61,602960,Barotrauma,8447,34830,93.0,619057,1367,840,11,2023-03-13,3499,121870170
575,304240,Resident Evil,8309,15530,92.0,367373,2616,502,11,2015-01-19,1999,31044470
483,519190,Next Day: Survival,8166,8550,63.0,340346,1744,458,10,2018-05-21,999,8541450
542,736220,Post Scriptum,7035,14966,80.0,552459,1267,743,9,2018-08-09,2999,44883034
732,644830,The Surge 2,6913,5367,77.0,853549,935,1179,9,2019-09-23,4999,26829633
738,916840,The Walking Dead: Saints & Sinners,6693,6546,88.0,515711,1700,742,9,2020-01-23,3999,26177454
579,21690,Resident Evil 5,6490,26446,87.0,248931,2303,349,8,2009-09-15,1999,52865554
421,234140,Mad Max,6291,43796,91.0,210526,1411,288,8,2015-09-01,1999,87548204
211,766370,Dying Light: Bad Blood,6088,1087,62.24,589867,1638,820,8,2018-09-13,1999,2172913
339,731620,Hide Or Die,6025,1182,56.11,289859,1301,390,8,2020-05-01,2499,2953818
216,415590,Earthfall,4858,1513,64.0,327308,1597,440,6,2018-07-12,2999,4537487
660,312670,Strange Brigade,4623,4075,85.0,279452,1067,376,6,2018-08-27,4999,20370925
158,842100,Daymare: 1998,4610,2415,72.0,375548,1062,522,6,2019-09-17,2999,7242585
604,322500,SUPERHOT,4545,22958,91.0,245351,2158,347,5,2016-02-25,2499,57372042
742,526160,The Wild Eight,4363,6056,71.0,256058,1018,381,6,2019-10-03,2499,15133944
322,657200,Hand Simulator,4209,28054,84.0,394697,2341,535,5,2017-07-18,199,5582746
91,261640,Borderlands: The Pre-Sequel,3450,27028,83.0,287491,878,399,4,2014-10-14,3999,108084972
715,1017180,The Long Drive,3228,21700,91.0,894712,884,1220,3,2019-09-25,1599,34698300
817,375230,"Warhammer 40,000: Eternal Crusade",3005,3792,51.81,108146,328,150,4,2016-09-23,1999,7580208
412,436520,Line of Sight,2974,9117,59.0,148671,615,200,4,2017-01-31,999,9107883
304,12110,Grand Theft Auto: Vice City,2812,19777,86.18,312830,593,420,3,2011-01-06,999,19757223
436,204100,Max Payne 3,2633,38792,85.0,981768,475,1321,3,2012-05-31,1999,77545208
599,41700,S.T.A.L.K.E.R.: Call of Pripyat,2568,19486,95.0,233727,515,314,3,2010-02-11,1999,38952514
844,327030,Worms W.M.D,2105,6845,85.0,493131,716,684,2,2016-08-23,2999,20528155
144,208200,DOOM 3,1981,6568,85.0,116783,584,157,2,2012-10-15,2999,19697432
145,9050,DOOM 3,1981,5462,78.74,116783,584,157,2,2007-08-03,999,5456538
600,20510,S.T.A.L.K.E.R.: Clear Sky,1508,13325,86.0,255110,248,343,2,2008-09-15,999,13311675
305,962400,Granny,1398,1521,90.0,715241,500,973,1,2018-11-20,999,1519479
172,681280,Descenders,1349,11696,95.0,248957,484,371,2,2019-05-07,2499,29228304
180,422970,Devil Daggers,1297,6326,96.0,180538,520,242,1,2016-02-18,999,6319674
301,12100,Grand Theft Auto III,1118,9070,76.34,216252,222,291,1,2011-01-06,999,9060930
427,40990,Mafia,867,7077,89.0,207106,138,287,0,2002-08-28,1499,10608423
118,4720,Condemned: Criminal Origins,723,2089,88.0,156162,190,210,0,2006-04-11,1499,3131411
70,395200,Ben and Ed,712,2867,82.0,111484,290,160,1,2015-12-08,999,2864133
105,343780,Cat Goes Fishing,312,8272,94.0,171628,113,234,0,2015-01-19,699,5782128
206,57900,Duke Nukem Forever,187,5260,69.0,180847,45,243,0,2011-06-13,1999,10514740
