title,avg_hours_watched,avg_hours_streamed,avg_streamers,avg_viewers,avg_channels,app_id,release_date,reviews_total,review_avg_percent,launch_price_cents,dataset_est_rev_cents
The Red Strings Club,198079,657,196,295,0,589780,2018-01-22,9070,94.0,1499,13595930
The Riftbreaker,938008,24365,2771,1262,32,780310,2021-10-14,13410,91.0,2999,40216590
The Room Three,353688,2774,630,491,3,456750,2018-11-13,9425,96.0,599,5645575
The Sinking City,989684,16491,2459,1357,22,750130,2021-02-26,2393,73.0,3999,9569607
The Solus Project,156208,917,266,222,0,313630,2016-06-07,2401,79.0,1999,4799599
The Stanley Parable: Ultra Deluxe,1435018,20655,6565,1955,27,1703340,2022-04-27,21336,94.0,2499,53318664
The Suicide of Rachel Foster,378256,3354,922,544,4,1057750,2020-02-19,4019,70.0,1799,7230181
The Surge,1425920,30448,5214,1919,40,378540,2017-05-15,6414,76.0,4999,32063586
The Surge 2,853549,6913,935,1179,9,644830,2019-09-23,5367,77.0,4999,26829633
The Survivalists,592542,13441,2481,797,18,897450,2020-10-09,4434,76.0,2499,11080566
The Town of Light,100594,545,204,135,0,433100,2016-02-26,1763,79.0,1899,3347937
The Turing Test,141741,2269,598,197,3,499520,2016-08-30,5923,87.0,1999,11840077
The Underground Man,232615,1396,332,323,1,513230,2016-09-01,1300,80.0,499,648700
The Walking Dead: A New Frontier,293813,6076,1460,400,7,536220,2016-12-20,11371,80.0,1499,17045129
The Walking Dead: Saints & Sinners,515711,6693,1700,742,9,916840,2020-01-23,6546,88.0,3999,26177454
The Walking Dead: Season Two,201775,5869,125,271,7,261030,2013-12-17,21491,96.0,2499,53706009
The Walking Dead: The Final Season,320555,7124,3488,434,9,866800,2018-08-14,12232,94.0,1999,24451768
The Wandering Village,999255,12324,2743,1389,17,1121640,2022-09-14,3518,89.0,2499,8791482
The Wild Eight,256058,4363,1018,381,6,526160,2019-10-03,6056,71.0,2499,15133944
The Witness,456651,11049,2098,637,15,210970,2016-01-26,12504,85.0,3999,50003496
They Are Billions,1334249,14455,1529,1818,19,644930,2019-06-18,38695,85.0,2999,116046305
Thief Simulator,754737,5531,1700,1043,7,704850,2018-11-09,22188,88.0,1999,44353812
This Is the Police,444998,4395,993,600,5,443810,2016-08-02,7994,83.0,1499,11983006
This Is the Police 2,569861,8212,1314,766,11,785740,2018-07-31,4378,77.0,1499,6562622
This War of Mine,257056,5831,1419,357,8,282070,2014-11-14,61732,94.0,1999,123402268
Thronebreaker: The Witcher Tales,931913,9292,1293,1262,12,973760,2018-11-09,12980,89.0,2999,38927020
Through the Woods,187158,839,314,251,1,368430,2016-10-27,1008,71.0,1999,2014992
Thymesia,1408357,25898,5439,1895,34,1343240,2022-08-18,4788,86.0,2499,11965212
Timberborn,787282,14529,1947,1077,19,1062090,2021-09-15,18209,95.0,2499,45504291
Tiny Rogues,637425,1966,614,886,2,2088570,2022-09-23,3116,97.0,599,1866484
Tiny Tina's Wonderlands,3259927,201391,30371,4441,275,1286680,2022-06-23,9094,76.0,7999,72742906
Tomb Raider II,261718,941,126,352,1,225300,2012-11-28,1830,87.0,699,1279170
Torchlight III,531084,12472,1410,726,16,1030210,2020-10-13,9794,47.0,3999,39166206
Tormented Souls,944807,18455,2816,1292,25,1367590,2021-08-26,3149,93.0,1999,6294851
Total Lockdown,531250,1157,216,715,1,1121710,2020-03-25,688,77.0,2999,2063312
Total War: WARHAMMER III,1235452,29709,2492,1718,41,1142710,2022-02-16,52563,74.0,5999,315325437
Totally Accurate Battle Simulator,503213,4394,2233,693,5,508440,2021-04-01,102100,98.0,1999,204097900
Totally Accurate Battlegrounds,1048313,31430,12934,1457,43,823130,2018-06-05,79772,88.0,499,39806228
Tower Unite,165776,858,274,233,0,394690,2016-04-08,14023,90.0,1999,28031977
Town of Salem,247572,5876,1568,339,7,334230,2014-12-15,30924,89.0,499,15431076
Town of Salem 2,650654,2085,532,904,2,2140510,2023-05-26,2112,87.0,999,2109888
Transport Fever,355060,6367,565,493,8,446800,2016-11-08,8967,82.0,3499,31375533
Transport Fever 2,739280,16594,1680,994,22,1066780,2019-12-11,17375,88.0,3999,69482625
Trek to Yomi,622143,29248,10889,837,39,1370050,2022-05-05,1369,71.0,1999,2736631
Trials of Mana,1135410,38267,2959,1555,52,924980,2020-04-24,4040,92.0,4999,20195960
Tribes of Midgard,2017271,47665,6148,2714,63,858820,2021-07-27,13937,76.0,1999,27860063
Tricky Towers,715245,1949,814,972,2,437920,2016-08-02,10092,90.0,1499,15127908
Trine 4: The Nightmare Prince,436433,6253,1173,587,8,690640,2019-10-08,9054,90.0,2999,27152946
Trombone Champ,931016,6677,3962,1294,9,1059990,2022-09-15,6637,98.0,1499,9948863
Tropico 5,179152,1258,348,241,1,245620,2014-05-23,9323,78.0,1999,18636677
Tropico 6,1137467,14037,2192,1562,19,492720,2019-03-29,15723,87.0,4999,78599277
Trover Saves the Universe,365558,9998,2956,508,13,1051200,2019-06-04,2591,91.0,2999,7770409
Twelve Minutes,4709086,55686,13034,6359,75,1097200,2021-08-19,5941,73.0,2499,14846559
Two Point Campus,1638455,29337,6596,2205,39,1649080,2022-08-09,2167,88.0,3999,8665833
Two Point Hospital,999256,20888,3973,1369,28,535930,2018-08-29,22869,92.0,3499,80018631
Tyranny,275413,6105,880,383,8,362960,2016-11-10,8634,87.0,4499,38844366
UNO,496973,7266,4227,687,9,470220,2016-12-08,35188,73.0,999,35152812
Ultimate Chicken Horse,202219,1665,657,271,2,386940,2016-03-04,27209,96.0,1499,40786291
UnderMine,735528,10965,1582,989,14,656350,2020-08-06,7645,92.0,1999,15282355
Undertale,309564,14321,3253,433,19,391540,2015-09-15,178894,96.0,999,178715106
Undisputed,1066525,24598,5066,1589,36,1451190,2023-01-31,8283,76.0,2999,24840717
Unpacking,1322649,26443,7502,1839,36,1135690,2021-11-01,20082,92.0,1999,40143918
Unrailed!,601192,2746,652,809,3,1016920,2020-09-23,11092,93.0,1999,22172908
Unravel,540842,16720,5283,778,24,1225560,2016-02-09,3013,91.0,1999,6022987
Unravel Two,446773,3531,1041,621,4,1225570,2018-06-09,3825,82.0,1999,7646175
Until We Die,1180349,5960,921,1641,8,1197570,2021-06-03,3659,69.0,1699,6216641
Untitled Goose Game,719226,11489,4267,986,15,837470,2020-09-23,13575,95.0,1999,27136425
Use Your Words,233473,1312,432,321,1,521350,2017-04-04,661,90.0,1499,990839
V Rising,5418040,142018,16353,7327,192,1604030,2022-05-17,62539,88.0,1999,125015461
VVVVVV,165691,297,101,223,0,70300,2010-09-07,5651,96.0,499,2819849
Valheim,4095888,250536,23316,5821,351,892970,2021-02-02,353477,95.0,1999,706600523
Vampire Survivors,2715286,41655,11538,3796,57,1794680,2022-10-20,191904,98.0,499,95760096
Vampire: The Masquerade - Bloodlines,219725,1491,211,296,1,2600,2004-11-16,10859,94.0,1999,21707141
Vampyr,2922646,91867,13170,4064,127,427290,2018-06-04,14593,76.0,3999,58357407
Vanquish,202305,3074,999,272,4,460810,2017-05-25,5495,89.0,1999,10984505
Victoria 3,1150436,15558,1561,1569,21,529340,2022-10-25,22292,66.0,4999,111437708
Viewfinder,1212150,12028,3449,1631,16,1382070,2023-07-18,1611,92.0,2499,4025889
Visage,873760,18454,4776,1192,24,594330,2020-10-29,6338,87.0,3499,22176662
Viscera Cleanup Detail,250781,1091,69,337,1,246900,2015-10-23,14057,93.0,1299,18260043
Void Bastards,464426,7421,2045,635,9,857980,2019-05-28,3475,87.0,2999,10421525
Voidtrain,743089,11094,1767,999,14,1159690,2023-05-09,2158,68.0,2999,6471842
WHAT THE GOLF?,470513,1557,546,633,2,785790,2020-10-22,2687,93.0,1999,5371313
WWE 2K17,263701,23029,3868,372,31,510510,2017-02-06,1044,61.34,4999,5218956
WWE 2K18,262048,22426,3584,365,30,664430,2017-10-17,1547,52.62,5999,9280453
WWE 2K19,690243,34984,4693,928,47,817130,2018-10-08,2788,57.17,5999,16725212
WWE 2K20,296891,10979,1575,399,14,1015500,2019-10-21,3895,56.53,5999,23366105
WWE 2K22,3671722,128099,22168,4978,174,1255630,2022-03-10,7433,74.0,5999,44590567
WWE 2K23,1135342,101712,17034,1543,138,1942660,2023-03-16,2053,81.0,9999,20527947
Wall World,757284,7385,1386,1053,10,2187290,2023-04-05,4540,92.0,499,2265460
Wargroove,524986,14432,2696,782,21,607050,2019-02-01,3688,84.0,1999,7372312
"Warhammer 40,000: Chaos Gate - Daemonhunters",2221263,17206,1686,2989,23,1611910,2022-05-05,7471,78.0,4499,33612029
"Warhammer 40,000: Darktide",3102465,76688,11989,4241,104,1361210,2022-11-30,60687,55.0,3999,242687313
"Warhammer 40,000: Dawn of War III",589645,12494,1673,810,16,285190,2017-04-27,12066,49.0,5999,72383934
"Warhammer 40,000: Eternal Crusade",108146,3005,328,150,4,375230,2016-09-23,3792,51.81,1999,7580208
"Warhammer 40,000: Inquisitor - Prophecy",272130,1401,151,366,1,1042800,2019-07-30,2281,79.0,2499,5700219
Warhammer: Vermintide 2,1357379,59898,8772,1858,81,552500,2018-03-08,73607,84.0,2999,220747393
Wartales,1806578,26085,2156,2491,35,1527950,2023-04-12,16914,90.0,3499,59182086
Wasteland 3,1278590,32286,3279,1742,44,719040,2020-08-27,14001,84.0,5999,83991999
Way of the Hunter,1076734,24375,3373,1449,32,1288320,2022-08-16,4122,77.0,3999,16483878
We Happy Few,1162492,19433,3898,1564,25,320240,2018-08-10,9832,76.0,5999,58982168
We Were Here Forever,1898351,25844,4216,2579,34,1341290,2022-05-10,8879,91.0,1799,15973321
We Were Here Together,818094,8882,1871,1107,12,865360,2019-10-10,9088,85.0,1299,11805312
We Were Here Too,502857,5331,1735,749,7,677160,2018-02-02,5354,80.0,999,5348646
Weed Shop 2,343217,3011,444,461,4,617700,2017-03-30,808,86.0,999,807192
Weed Shop 3,1033032,9925,1029,1418,13,1182110,2022-04-20,3090,94.0,1999,6176910
Welcome to the Game,362331,1039,340,498,1,485380,2016-06-15,2042,84.0,499,1018958
