app_id,tag
1174180,Action
1174180,Multiplayer
1174180,Realistic
1174180,Singleplayer
1174180,Shooter
1174180,Atmospheric
1174180,Beautiful
1174180,Third Person Shooter
1174180,Mature
1174180,Great Soundtrack
1174180,Third Person
1174180,Sandbox
1174180,Gore
1174180,First Person
1174180,FPS
1097150,Family Friendly
1097150,Massively Multiplayer
1097150,Platformer
1097150,Cute
1097150,Funny
1097150,PvP
1097150,3D Platformer
1097150,Controller
1097150,Casual
1097150,Colorful
1097150,Action
1097150,Online Co Op
1097150,Co op
1097150,Comedy
1097150,Physics
1097150,Indie
1097150,Difficult
892970,Survival
892970,Online Co Op
892970,Open World
892970,Multiplayer
892970,Building
892970,Crafting
892970,Exploration
892970,Base Building
892970,Co op
892970,Sandbox
892970,Adventure
892970,Mythology
892970,RPG
892970,Early Access
892970,Action
892970,PvE
892970,Indie
892970,Singleplayer
892970,Third Person
252950,Multiplayer
252950,Competitive
252950,Sports
252950,Racing
252950,Team Based
252950,Online Co Op
252950,Fast Paced
252950,Co op
252950,Action
252950,Funny
252950,Great Soundtrack
252950,Local Multiplayer
252950,Split Screen
252950,Local Co Op
252950,Singleplayer
252950,4 Player Local
252950,Casual
252950,Indie
221100,Survival
221100,Zombies
221100,Multiplayer
221100,Open World
221100,Action
221100,PvP
221100,Shooter
221100,Massively Multiplayer
221100,Horror
221100,Post apocalyptic
221100,Simulation
221100,FPS
221100,Early Access
221100,First Person
221100,Survival Horror
221100,Sandbox
221100,Adventure
221100,Co op
221100,Atmospheric
221100,Indie
620,Puzzle
620,Dark Humor
620,First Person
620,Story Rich
620,Puzzle Platformer
620,Funny
620,Female Protagonist
620,3D Platformer
620,Action Adventure
620,Action
620,FPS
620,Co op
620,Physics
620,Sci fi
620,Level Editor
620,Comedy
620,Atmospheric
620,Adventure
239140,Survival Horror
239140,Horror
239140,Online Co Op
239140,Open World
239140,Parkour
239140,First Person
239140,Survival
239140,Open World Survival Craft
239140,Gore
239140,FPS
239140,Action
239140,PvE
239140,PvP
239140,Stealth
239140,Post apocalyptic
239140,Story Rich
239140,Hack and Slash
239140,Action RPG
239140,RPG
322330,Survival
322330,Open World Survival Craft
322330,Multiplayer
322330,Co op
322330,Open World
322330,Adventure
322330,Crafting
322330,Online Co Op
322330,Sandbox
322330,Difficult
322330,Indie
322330,2D
322330,Atmospheric
322330,Funny
322330,Survival Horror
322330,Strategy
322330,Horror
322330,Singleplayer
322330,Action
322330,Roguelike
367520,Souls like
367520,Platformer
367520,Great Soundtrack
367520,Difficult
367520,2D
367520,Indie
367520,Atmospheric
367520,Singleplayer
367520,Exploration
367520,Adventure
367520,Story Rich
367520,Hand drawn
367520,Action
367520,Multiple Endings
367520,Dark Fantasy
